filename,complexity,diversity,productivity
A1_a_good_nights_sleep.txt,4.098337049187463,2.683214017870542,1.4398493546173265
A1_a_request_from_your_boss.txt,2.5259408981287774,1.9518007138844744,1.210933450594371
A1_a_voicemail_message.txt,4.373980677738105,2.5055802517758603,1.7236148524151764
A1_A2_episode_01_they_meet.txt,1.1946795910403796,1.0401128127343753,1.1163095238095238
A1_A2_episode_02_toms_party.txt,1.4366036960264452,1.0777260406350293,1.198758303200597
A1_A2_episode_03_what_do_you_doing.txt,1.4223058179600683,1.1976328050802245,1.1039658750321641
A1_A2_episode_04_where_are_you.txt,1.7129605381322466,1.2939988197249408,1.1895846578360707
A1_A2_episode_05_speaking_or_eating.txt,1.4385127244306215,1.161525411827113,1.1393025283449032
A1_A2_episode_06_ill_pay.txt,1.9924553846142183,1.618043688151567,1.1672266014366428
A1_A2_episode_07_race.txt,1.6479096356758034,1.3206985772193303,1.173090563346257
A1_A2_episode_08_brown_bread.txt,1.4700391431024602,1.2543042054164557,1.1264058956916103
A1_A2_episode_09_family_photos.txt,1.2537682867947788,1.123253037363672,1.057638888888889
A1_A2_episode_10_sportsman.txt,1.6534465637654028,1.4160792125298727,1.1072642903901297
A1_A2_episode_11_what_time_it.txt,1.6663672303861314,1.3003381770910334,1.1983136437263704
A1_A2_episode_12_old_friend.txt,1.5185620207905905,1.2180792871358066,1.19609169591883
A1_A2_episode_13_horoscopes.txt,1.7860506725448515,1.413937222380361,1.1605908650356787
A1_A2_episode_14_can_you_speak_french.txt,1.8739157434701066,1.6001857804333364,1.1361718208057892
A1_A2_episode_15_there_campsite.txt,2.3699959714474765,1.8354440766599536,1.2126678507341566
A1_at_the_library_giving_personal_information.txt,1.0714363133643086,0.9952817143773356,1.0396240625180289
A1_band_auditions.txt,1.8344801240910569,1.4124942021136504,1.2174739903679568
A1_booking_a_table.txt,1.78386090554984,1.264650918169568,1.2000537324800136
A1_business_cards.txt,3.1805724291580146,2.0965475454377795,1.3620213394180087
A1_describing_people.txt,2.558803837441394,2.0012160247320123,1.2861796995587982
A1_finding_the_library.txt,1.613360741429608,1.1927986644727806,1.2293947248286288
A1_first_day_at_school.txt,0.9487119776139351,0.9487119776139351,1.0555555555555556
A1_getting_an_ID_card.txt,1.6865975993751787,1.3691432251740314,1.2343888156132106
A1_interview_with_a_swimmer.txt,3.2883873498046072,2.1677567836913965,1.3503781291090837
A1_introducing_a_friend.txt,1.3791479170272447,1.2729825003365396,1.06
A1_inviting_someone_to_the_cinema.txt,2.0862098830940026,1.5591185591706782,1.2050884697768334
A1_meeting_a_new_team_member.txt,2.205045100414447,1.8053213999647875,1.148392382509774
A1_meeting_other_students.txt,1.9932103569634327,1.6494058873985653,1.144932619491617
A1_meeting_people_at_dinner.txt,1.2123530106216769,1.1363641326551668,1.0655172413793104
A1_online_safety_conversation.txt,2.167171402325159,1.7188181182111975,1.1764202097397138
A1_ordering_food_in_a_cafe.txt,2.408249320653963,1.8045719163173881,1.2265288244227908
A1_ordering_in_a_cafe.txt,2.1133823152873776,1.533543311951946,1.2565116866371016
A1_organising_a_group_project.txt,2.471433810381552,1.9653613014634044,1.169947270870752
A1_shopping_for_clothes.txt,1.3791794762206449,1.174168322691559,1.1577922077922078
A1_study_tips.txt,2.2220434647191203,1.8388535022667551,1.1843862734487736
A1_the_first_english_class.txt,3.693969107273972,2.4076576548819024,1.4737028166945443
A1Movers_1_1.txt,1.8824105240867084,1.5646563668272127,1.1603942721200686
A1Movers_1_2.txt,1.967259221479975,1.5286285506606225,1.1839689201854795
A1Movers_1_3.txt,2.5012876871032095,1.9280933184360285,1.222698274377663
A1Movers_1_4.txt,2.078544751652065,1.6104167312470565,1.1837354527344768
A1Movers_1_5.txt,1.8005187659432742,1.3609909512579197,1.1892439738350544
A1Movers_2_1.txt,1.9341758109920375,1.614163684303693,1.1174642004462572
A1Movers_2_2.txt,2.7324661941103234,2.0158837055143315,1.2729407918310425
A1Movers_2_3.txt,2.2521402351375235,1.8402111191882098,1.1840692754766322
A1Movers_2_4.txt,2.323832562044654,1.7849360820169067,1.2327458060694552
A1Movers_2_5.txt,1.5026420039774364,1.235232138582835,1.1406958324009504
A1PreStarters_1_1.txt,1.8006000825550035,1.5147754497632977,1.1494142101284957
A1PreStarters_1_2.txt,1.3878030168457962,1.142793504796514,1.1711096974787727
A1PreStarters_1_3.txt,2.0593172443363574,1.6818913143022138,1.146310327180985
A1PreStarters_1_4.txt,1.6962944075536028,1.2872462907858588,1.1766348795677366
A1PreStarters_2_1.txt,1.686203315015837,1.4540253050539451,1.1027486561297333
A1PreStarters_2_2.txt,1.7941907004340165,1.5100756677294822,1.1478932010260747
A1PreStarters_2_3.txt,1.7169592639060234,1.4972597010645907,1.1732768972764636
A1PreStarters_2_4.txt,1.3894074400316443,1.1308042035567605,1.1721854383925268
A2_a_morning_briefing.txt,4.8649463077460755,2.837987157111534,1.5767636923376338
A2_an_invitation_to_a_party.txt,3.6438311874802625,2.494399609957962,1.3945838722518644
A2_B1_one_day_i_will_lagos.txt,3.5646743924222877,2.3932042971591327,1.37353917127736
A2_B1_podcasts_episode_02.txt,3.273661880244562,2.123373228132639,1.352461970600502
A2_B1_podcasts_episode_03.txt,3.8284417453015736,2.490871290163536,1.4022871669201096
A2_B1_podcasts_episode_04.txt,3.1989440262309103,2.1125526850235454,1.3523552041203966
A2_B1_podcasts_episode_05.txt,3.3326769579189826,2.206454390871481,1.366861377377913
A2_B1_podcasts_episode_06.txt,3.296746528228245,2.1739753663850845,1.3694745553158418
